prompt,label
"What is TCP?",FACTUAL
"capital of japan",FACTUAL
"Meaning of polymorphism",FACTUAL
"When was React released?",FACTUAL
"Timezone of Montreal",FACTUAL

"hi",LOW_VALUE
"thanks",LOW_VALUE
"ok",LOW_VALUE
"lol",LOW_VALUE
"👍",LOW_VALUE

"Compare Redux vs Zustand for a large React app",REASONING
"Help me debug why my component rerenders infinitely",REASONING
"Design a caching strategy for this API",REASONING
"Implement a binary search tree in TypeScript",REASONING
"Optimize this SQL query and explain indexing",REASONING
"what is tcp?",FACTUAL
"what is udp?",FACTUAL
"what is dns?",FACTUAL
"what is http?",FACTUAL
"what is https?",FACTUAL
"what is tls?",FACTUAL
"what is ssh?",FACTUAL
"what is oauth?",FACTUAL
"what is cors?",FACTUAL
"what is jwt?",FACTUAL
"whats tcp?",FACTUAL
"whats udp?",FACTUAL
"whats dns?",FACTUAL
"whats http?",FACTUAL
"whats https?",FACTUAL
"whats tls?",FACTUAL
"whats ssh?",FACTUAL
"whats oauth?",FACTUAL
"whats cors?",FACTUAL
"whats jwt?",FACTUAL
"what does http 404 mean?",FACTUAL
"what does http 500 mean?",FACTUAL
"what does dns stand for?",FACTUAL
"what does jwt stand for?",FACTUAL
"what does sql stand for?",FACTUAL
"what does cpu stand for?",FACTUAL
"what does ram stand for?",FACTUAL
"what does gpu stand for?",FACTUAL
"what does ascii stand for?",FACTUAL
"what does utf 8 mean?",FACTUAL
"meaning of idempotent",FACTUAL
"meaning of polymorphism",FACTUAL
"meaning of encapsulation",FACTUAL
"meaning of recursion",FACTUAL
"meaning of memoization",FACTUAL
"definition of rest",FACTUAL
"definition of graphql",FACTUAL
"definition of dependency injection",FACTUAL
"definition of cache invalidation",FACTUAL
"definition of cap theorem",FACTUAL
"define polymorphism",FACTUAL
"define recursion",FACTUAL
"define memoization",FACTUAL
"define dependency injection",FACTUAL
"define encapsulation",FACTUAL
"syntax for javascript arrow function",FACTUAL
"syntax for python list comprehension",FACTUAL
"syntax for sql inner join",FACTUAL
"syntax for css grid gap",FACTUAL
"syntax for typescript generics",FACTUAL
"javascript arrow function syntax",FACTUAL
"python list comprehension syntax",FACTUAL
"css grid gap syntax",FACTUAL
"sql join syntax",FACTUAL
"typescript generics syntax",FACTUAL
"what is the capital of japan?",FACTUAL
"what is the capital of canada?",FACTUAL
"what is the capital of france?",FACTUAL
"what is the capital of germany?",FACTUAL
"what is the capital of brazil?",FACTUAL
"capital of japan",FACTUAL
"capital of canada",FACTUAL
